,Aemon-Targaryen-(Maester-Aemon),Arya-Stark,Barristan-Selmy,Bran-Stark,Brienne-of-Tarth,Bronn,Catelyn-Stark,Cersei-Lannister,Daenerys-Targaryen,Davos-Seaworth,Drogo,Eddard-Stark,Gregor-Clegane,Hodor,Jaime-Lannister,Jeor-Mormont,Joffrey-Baratheon,Jon-Snow,Jorah-Mormont,Loras-Tyrell,Luwin,Lysa-Arryn,Mance-Rayder,Margaery-Tyrell,Melisandre,Petyr-Baelish,Pycelle,Renly-Baratheon,Rickon-Stark,Robb-Stark,Robert-Baratheon,Samwell-Tarly,Sandor-Clegane,Sansa-Stark,Stannis-Baratheon,Theon-Greyjoy,Tommen-Baratheon,Tyrion-Lannister,Tywin-Lannister,Varys
Aemon-Targaryen-(Maester-Aemon),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06329113924050633,0.0,0.27848101265822783,0.0,0.0,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,0.25063291139240507,0.0,0.0,0.030379746835443037,0.0,0.0,0.0,0.0,0.0
Arya-Stark,0.0,1.0,0.0,0.0273972602739726,0.0,0.0,0.005479452054794521,0.017123287671232876,0.0,0.0,0.0,0.031506849315068496,0.00684931506849315,0.0,0.008904109589041096,0.0,0.036301369863013695,0.04863013698630137,0.0,0.0,0.0,0.0,0.002054794520547945,0.0,0.0027397260273972603,0.002054794520547945,0.0,0.0,0.0136986301369863,0.030136986301369864,0.011643835616438357,0.0,0.03972602739726028,0.10616438356164383,0.0,0.004794520547945206,0.003424657534246575,0.007534246575342466,0.008904109589041096,0.0
Barristan-Selmy,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.036170212765957444,0.17659574468085107,0.0,0.0,0.059574468085106386,0.0,0.0,0.01702127659574468,0.0,0.027659574468085105,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.014893617021276596,0.01702127659574468,0.027659574468085105,0.0,0.0,0.10851063829787234,0.0,0.006382978723404255,0.006382978723404255,0.0,0.0,0.0,0.006382978723404255,0.0,0.031914893617021274
Bran-Stark,0.0,0.026525198938992044,0.0,1.0,0.0,0.0,0.015915119363395226,0.003978779840848806,0.0,0.0,0.0,0.022546419098143235,0.0,0.13859416445623343,0.0,0.002652519893899204,0.003978779840848806,0.05968169761273209,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.001989389920424403,0.0,0.001989389920424403,0.08554376657824933,0.11206896551724138,0.007294429708222812,0.007294429708222812,0.0,0.016578249336870028,0.0,0.042440318302387266,0.005305039787798408,0.020557029177718834,0.0,0.0
Brienne-of-Tarth,0.0,0.0,0.0,0.0,1.0,0.0,0.1017274472168906,0.015355086372360844,0.0,0.0,0.0,0.0,0.0,0.0,0.21305182341650672,0.0,0.007677543186180422,0.0,0.0,0.011516314779270634,0.0,0.005758157389635317,0.0,0.0,0.0,0.0,0.0,0.0710172744721689,0.0,0.009596928982725527,0.005758157389635317,0.0,0.023032629558541268,0.046065259117082535,0.009596928982725527,0.0,0.005758157389635317,0.013435700575815739,0.005758157389635317,0.0
Bronn,0.0,0.0,0.0,0.0,0.0,1.0,0.019169329073482427,0.07348242811501597,0.0,0.0,0.0,0.0,0.012779552715654952,0.0,0.0,0.0,0.038338658146964855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009584664536741214,0.0,0.022364217252396165,0.43769968051118213,0.022364217252396165,0.038338658146964855
Catelyn-Stark,0.0,0.0065040650406504065,0.0,0.01951219512195122,0.043089430894308944,0.004878048780487805,1.0,0.024390243902439025,0.0,0.0,0.0,0.07154471544715447,0.0,0.0,0.04796747967479675,0.0,0.00894308943089431,0.011382113821138212,0.0,0.004878048780487805,0.011382113821138212,0.044715447154471545,0.0,0.0032520325203252032,0.0,0.025203252032520326,0.0,0.044715447154471545,0.004878048780487805,0.1040650406504065,0.02195121951219512,0.0,0.0,0.026016260162601626,0.01951219512195122,0.011382113821138212,0.0,0.05609756097560976,0.01707317073170732,0.008130081300813009
Cersei-Lannister,0.0,0.011200716845878136,0.0076164874551971325,0.002688172043010753,0.0035842293906810036,0.010304659498207885,0.013440860215053764,1.0,0.0013440860215053765,0.0,0.0,0.04077060931899642,0.009408602150537635,0.0,0.05824372759856631,0.0,0.0775089605734767,0.0031362007168458782,0.0,0.010752688172043012,0.0,0.004032258064516129,0.0,0.03539426523297491,0.0,0.012096774193548387,0.015232974910394265,0.005376344086021506,0.0,0.006720430107526882,0.06003584229390681,0.0,0.008512544802867384,0.04256272401433692,0.01881720430107527,0.0,0.04973118279569892,0.09363799283154121,0.025537634408602152,0.023745519713261647
Daenerys-Targaryen,0.0,0.0,0.05161691542288557,0.0,0.0,0.0,0.0,0.0018656716417910447,1.0,0.0,0.07649253731343283,0.003109452736318408,0.0,0.0,0.0,0.0,0.0,0.0,0.10012437810945274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01616915422885572,0.0,0.0,0.0,0.0,0.0,0.0,0.010572139303482588,0.0,0.004975124378109453
Davos-Seaworth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.008281573498964804,0.0,0.0,0.0,0.0,0.020703933747412008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13250517598343686,0.0,0.0,0.012422360248447204,0.0,0.006211180124223602,0.0,0.0,0.0,0.0,0.2712215320910973,0.0,0.0,0.0,0.0,0.0
Drogo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4006514657980456,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09120521172638436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009771986970684038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eddard-Stark,0.0,0.027895694360218316,0.016979987871437233,0.020618556701030927,0.0,0.0,0.053365676167374164,0.05518496058217101,0.0030321406913280777,0.002425712553062462,0.0,1.0,0.007883565797453002,0.0,0.02001212856276531,0.0,0.024863553668890235,0.03941782898726501,0.0,0.0072771376591873865,0.011522134627046696,0.0072771376591873865,0.0,0.0,0.0,0.05154639175257732,0.021831412977562158,0.02304426925409339,0.009096422073984234,0.027895694360218316,0.2025469981807156,0.0,0.008489993935718617,0.02607640994542147,0.019405700424499697,0.01879927228623408,0.0,0.02425712553062462,0.010915706488781079,0.038811400848999394
