,Albania,Andorra,Armenia,Australia,Austria,Azerbaijan,Belarus,Belgium,Bosnia & Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,F.Y.R. Macedonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Morocco,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Serbia & Montenegro,Slovakia,Slovenia,Spain,Sweden,Switzerland,The Netherlands,Turkey,Ukraine,United Kingdom,Yugoslavia
Albania,1.0,0.0,0.011083743842364532,0.023399014778325122,0.006157635467980296,0.03078817733990148,0.0024630541871921183,0.0012315270935960591,0.059113300492610835,0.017241379310344827,0.0024630541871921183,0.01600985221674877,0.0,0.003694581280788177,0.0049261083743842365,0.03694581280788178,0.0,0.03078817733990148,0.0,0.04310344827586207,0.1477832512315271,0.020935960591133004,0.007389162561576354,0.006157635467980296,0.023399014778325122,0.08990147783251232,0.0,0.0,0.0,0.013546798029556651,0.0,0.0,0.014778325123152709,0.0,0.019704433497536946,0.0,0.007389162561576354,0.024630541871921183,0.03940886699507389,0.003694581280788177,0.01600985221674877,0.01600985221674877,0.0,0.0,0.06773399014778325,0.04556650246305419,0.0,0.0049261083743842365,0.0874384236453202,0.019704433497536946,0.034482758620689655,0.0
Andorra,0.0,1.0,0.0,0.0,0.0,0.020114942528735632,0.0,0.0028735632183908046,0.0,0.0,0.0,0.011494252873563218,0.0,0.022988505747126436,0.0,0.0,0.0603448275862069,0.07471264367816093,0.0,0.014367816091954023,0.0603448275862069,0.034482758620689655,0.022988505747126436,0.011494252873563218,0.04310344827586207,0.0,0.034482758620689655,0.022988505747126436,0.0,0.020114942528735632,0.011494252873563218,0.0,0.0,0.0,0.03735632183908046,0.0,0.04597701149425287,0.05747126436781609,0.040229885057471264,0.0,0.0,0.005747126436781609,0.0,0.0,0.1724137931034483,0.04885057471264368,0.0028735632183908046,0.0,0.008620689655172414,0.09482758620689655,0.017241379310344827,0.0
Armenia,0.008028545941123996,0.0,1.0,0.009404388714733543,0.006269592476489028,0.001567398119122257,0.03605015673981191,0.012539184952978056,0.009404388714733543,0.017241379310344827,0.003134796238244514,0.02037617554858934,0.001567398119122257,0.01567398119122257,0.0,0.0109717868338558,0.0,0.07053291536050156,0.10501567398119123,0.009404388714733543,0.11598746081504702,0.0,0.007836990595611285,0.004702194357366771,0.009404388714733543,0.023510971786833857,0.003134796238244514,0.0,0.0,0.0219435736677116,0.02037617554858934,0.0,0.03134796238244514,0.0,0.04075235109717868,0.0,0.025078369905956112,0.007836990595611285,0.15203761755485892,0.004702194357366771,0.017241379310344827,0.0,0.0,0.0,0.02037617554858934,0.03605015673981191,0.007836990595611285,0.006269592476489028,0.006269592476489028,0.0877742946708464,0.02037617554858934,0.0
Australia,0.027656477438136828,0.0,0.008733624454148471,1.0,0.017241379310344827,0.0,0.0,0.10344827586206896,0.0,0.09195402298850575,0.005747126436781609,0.0,0.0,0.028735632183908046,0.017241379310344827,0.0,0.0,0.034482758620689655,0.005747126436781609,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.04597701149425287,0.040229885057471264,0.040229885057471264,0.0,0.0,0.05747126436781609,0.0,0.0,0.0,0.022988505747126436,0.011494252873563218,0.040229885057471264,0.0,0.05747126436781609,0.0,0.028735632183908046,0.0,0.0,0.0,0.028735632183908046,0.10344827586206896,0.0,0.040229885057471264,0.0,0.011494252873563218,0.09195402298850575,0.0
Austria,0.0032938076416337285,0.0,0.002635046113306983,0.001976284584980237,1.0,0.009578544061302681,0.003352490421455939,0.02442528735632184,0.035440613026819924,0.007662835249042145,0.020114942528735632,0.007183908045977011,0.0019157088122605363,0.03639846743295019,0.012452107279693486,0.0004789272030651341,0.01293103448275862,0.05651340996168582,0.0,0.05316091954022988,0.0210727969348659,0.011494252873563218,0.017720306513409962,0.06992337164750957,0.034961685823754786,0.034961685823754786,0.009099616858237548,0.0004789272030651341,0.022509578544061302,0.023946360153256706,0.004789272030651341,0.006704980842911878,0.0,0.0,0.022509578544061302,0.016283524904214558,0.01293103448275862,0.013409961685823755,0.020114942528735632,0.0,0.01532567049808429,0.011494252873563218,0.0,0.0038314176245210726,0.032567049808429116,0.06848659003831417,0.04454022988505747,0.0435823754789272,0.028735632183908046,0.006704980842911878,0.08045977011494253,0.011494252873563218
Azerbaijan,0.019334880123743233,0.005413766434648105,0.0007733952049497294,0.0,0.015467904098994586,1.0,0.04482758620689655,0.0,0.008620689655172414,0.017241379310344827,0.010344827586206896,0.0034482758620689655,0.0,0.015517241379310345,0.013793103448275862,0.0,0.0,0.0,0.07241379310344828,0.0017241379310344827,0.05517241379310345,0.02413793103448276,0.0,0.0017241379310344827,0.04482758620689655,0.015517241379310345,0.008620689655172414,0.022413793103448276,0.0,0.04655172413793104,0.05344827586206897,0.0,0.0034482758620689655,0.0,0.02586206896551724,0.017241379310344827,0.013793103448275862,0.06379310344827586,0.11551724137931034,0.005172413793103448,0.0034482758620689655,0.0,0.0,0.005172413793103448,0.0034482758620689655,0.027586206896551724,0.0,0.0,0.08275862068965517,0.14482758620689656,0.01206896551724138,0.0
Belarus,0.006578947368421052,0.0,0.0756578947368421,0.0,0.023026315789473683,0.08552631578947369,1.0,0.014778325123152709,0.0049261083743842365,0.01600985221674877,0.006157635467980296,0.009852216748768473,0.0,0.006157635467980296,0.01847290640394089,0.0024630541871921183,0.009852216748768473,0.008620689655172414,0.04187192118226601,0.009852216748768473,0.03694581280788178,0.008620689655172414,0.0049261083743842365,0.0012315270935960591,0.02832512315270936,0.0049261083743842365,0.013546798029556651,0.038177339901477834,0.0,0.024630541871921183,0.04310344827586207,0.0,0.0,0.0,0.04310344827586207,0.011083743842364532,0.012315270935960592,0.007389162561576354,0.17364532019704434,0.0,0.009852216748768473,0.012315270935960592,0.0,0.0049261083743842365,0.0024630541871921183,0.05541871921182266,0.012315270935960592,0.008620689655172414,0.011083743842364532,0.1268472906403941,0.007389162561576354,0.0
Belgium,0.0005200208008320333,0.0005200208008320333,0.004160166406656267,0.0093603744149766,0.0265210608424337,0.0,0.0062402496099844,1.0,0.0034482758620689655,0.008620689655172414,0.007758620689655172,0.01767241379310345,0.0004310344827586207,0.03405172413793103,0.00603448275862069,0.0,0.008189655172413794,0.05,0.007758620689655172,0.05775862068965517,0.041379310344827586,0.00603448275862069,0.015948275862068966,0.05603448275862069,0.04396551724137931,0.026724137931034484,0.013793103448275862,0.0017241379310344827,0.022844827586206897,0.01939655172413793,0.003879310344827586,0.006896551724137931,0.0,0.0,0.05129310344827586,0.0021551724137931034,0.016379310344827588,0.013793103448275862,0.01810344827586207,0.0,0.005172413793103448,0.001293103448275862,0.0,0.0017241379310344827,0.052155172413793104,0.060775862068965514,0.04224137931034483,0.046120689655172416,0.04655172413793104,0.009482758620689655,0.06422413793103449,0.01939655172413793
Bosnia & Herzegovina,0.03864734299516908,0.0,0.004830917874396135,0.0,0.05958132045088567,0.004025764895330112,0.00322061191626409,0.00644122383252818,1.0,0.008166969147005444,0.09528130671506352,0.0,0.0054446460980036296,0.007259528130671506,0.016333938294010888,0.03901996370235935,0.009981851179673321,0.0499092558983666,0.004537205081669692,0.029945553539019964,0.038112522686025406,0.003629764065335753,0.0009074410163339383,0.04083484573502722,0.02631578947368421,0.010889292196007259,0.004537205081669692,0.0018148820326678765,0.0,0.041742286751361164,0.003629764065335753,0.0,0.0,0.0,0.029038112522686024,0.022686025408348458,0.0018148820326678765,0.011796733212341199,0.020871143375680582,0.0,0.05807622504537205,0.019963702359346643,0.0,0.05535390199637023,0.02722323049001815,0.047186932849364795,0.003629764065335753,0.016333938294010888,0.08620689655172414,0.028130671506352088,0.029945553539019964,0.0
Bulgaria,0.02491103202846975,0.0,0.019572953736654804,0.028469750889679714,0.028469750889679714,0.017793594306049824,0.023131672597864767,0.03558718861209965,0.01601423487544484,1.0,0.003134796238244514,0.0219435736677116,0.0,0.014106583072100314,0.0,0.03918495297805643,0.012539184952978056,0.0,0.01567398119122257,0.023510971786833857,0.13636363636363635,0.017241379310344827,0.007836990595611285,0.004702194357366771,0.01567398119122257,0.0,0.0,0.012539184952978056,0.0,0.0109717868338558,0.02037617554858934,0.0,0.0,0.0,0.007836990595611285,0.0109717868338558,0.0,0.032915360501567396,0.06583072100313479,0.0,0.04231974921630094,0.006269592476489028,0.0,0.0,0.014106583072100314,0.018808777429467086,0.0,0.018808777429467086,0.07210031347962383,0.061128526645768025,0.029780564263322883,0.0
