Source,Target,weight
Eddard-Stark,Robert-Baratheon,334
Jon-Snow,Samwell-Tarly,228
Joffrey-Baratheon,Sansa-Stark,222
Joffrey-Baratheon,Tyrion-Lannister,219
Bran-Stark,Hodor,209
Cersei-Lannister,Tyrion-Lannister,209
Jeor-Mormont,Jon-Snow,174
Cersei-Lannister,Joffrey-Baratheon,173
Bran-Stark,Robb-Stark,169
Daenerys-Targaryen,Jorah-Mormont,161
Arya-Stark,Sansa-Stark,155
Bronn,Tyrion-Lannister,137
Cersei-Lannister,Robert-Baratheon,134
Davos-Seaworth,Stannis-Baratheon,131
Cersei-Lannister,Jaime-Lannister,130
Bran-Stark,Rickon-Stark,129
Catelyn-Stark,Robb-Stark,128
Daenerys-Targaryen,Drogo,123
Bran-Stark,Meera-Reed,123
Sansa-Stark,Tyrion-Lannister,118
Tyrion-Lannister,Tywin-Lannister,117
Bran-Stark,Luwin,116
Jaime-Lannister,Tyrion-Lannister,113
Bran-Stark,Jojen-Reed,112
Jon-Snow,Mance-Rayder,112
Brienne-of-Tarth,Jaime-Lannister,111
Cersei-Lannister,Tommen-Baratheon,111
Renly-Baratheon,Stannis-Baratheon,110
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,110
Tyrion-Lannister,Varys,107
Ramsay-Snow,Theon-Greyjoy,101
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,99
Daenerys-Targaryen,Hizdahr-zo-Loraq,96
Cersei-Lannister,Sansa-Stark,95
Jon-Snow,Stannis-Baratheon,91
Jon-Snow,Robb-Stark,91
Cersei-Lannister,Eddard-Stark,91
Bran-Stark,Jon-Snow,90
Catelyn-Stark,Eddard-Stark,88
Renly-Baratheon,Robert-Baratheon,80
Joffrey-Baratheon,Tommen-Baratheon,77
Robb-Stark,Theon-Greyjoy,76
Jojen-Reed,Meera-Reed,73
Arya-Stark,Jon-Snow,71
Catelyn-Stark,Tyrion-Lannister,69
Jaime-Lannister,Robert-Baratheon,69
Robert-Baratheon,Stannis-Baratheon,68
Eddard-Stark,Jon-Snow,65
Joffrey-Baratheon,Robert-Baratheon,64
Eddard-Stark,Varys,64
Bran-Stark,Theon-Greyjoy,64
Hodor,Meera-Reed,59
Catelyn-Stark,Jaime-Lannister,59
Cersei-Lannister,Tywin-Lannister,57
Jon-Snow,Tyrion-Lannister,56
Catelyn-Stark,Renly-Baratheon,55
Arya-Stark,Joffrey-Baratheon,53
Brienne-of-Tarth,Catelyn-Stark,53
Cersei-Lannister,Varys,53
Rickon-Stark,Robb-Stark,53
Stannis-Baratheon,Tyrion-Lannister,52
Jaime-Lannister,Tywin-Lannister,51
Jeor-Mormont,Samwell-Tarly,51
Joffrey-Baratheon,Robb-Stark,49
Eddard-Stark,Robb-Stark,46
Arya-Stark,Eddard-Stark,46
Jaime-Lannister,Joffrey-Baratheon,45
Joffrey-Baratheon,Stannis-Baratheon,45
Arya-Stark,Robb-Stark,44
Robb-Stark,Sansa-Stark,44
Robb-Stark,Tyrion-Lannister,44
Robert-Baratheon,Varys,44
Eddard-Stark,Sansa-Stark,43
Cersei-Lannister,Stannis-Baratheon,42
Robert-Baratheon,Tyrion-Lannister,42
Jaime-Lannister,Robb-Stark,41
Eddard-Stark,Joffrey-Baratheon,41
Arya-Stark,Bran-Stark,40
Eddard-Stark,Tyrion-Lannister,40
Hodor,Jojen-Reed,38
Eddard-Stark,Renly-Baratheon,38
Brienne-of-Tarth,Renly-Baratheon,37
Samwell-Tarly,Stannis-Baratheon,37
Joffrey-Baratheon,Varys,37
Joffrey-Baratheon,Tywin-Lannister,37
Jaime-Lannister,Tommen-Baratheon,36
Robert-Baratheon,Sansa-Stark,35
Bran-Stark,Eddard-Stark,34
Eddard-Stark,Jaime-Lannister,33
Catelyn-Stark,Sansa-Stark,32
Eddard-Stark,Stannis-Baratheon,32
Eddard-Stark,Theon-Greyjoy,31
Bran-Stark,Tyrion-Lannister,31
Catelyn-Stark,Cersei-Lannister,30
Stannis-Baratheon,Tywin-Lannister,30
Robb-Stark,Tywin-Lannister,30
Jon-Snow,Robert-Baratheon,29
Robert-Baratheon,Tywin-Lannister,29
Jaime-Lannister,Renly-Baratheon,28
Drogo,Jorah-Mormont,28
Jeor-Mormont,Tyrion-Lannister,27
Hodor,Luwin,27
Luwin,Theon-Greyjoy,27
Jorah-Mormont,Tyrion-Lannister,27
Catelyn-Stark,Robert-Baratheon,27
Luwin,Robb-Stark,26
Daenerys-Targaryen,Robert-Baratheon,26
Tommen-Baratheon,Tyrion-Lannister,26
Bran-Stark,Sansa-Stark,25
Arya-Stark,Cersei-Lannister,25
Renly-Baratheon,Robb-Stark,25
Joffrey-Baratheon,Renly-Baratheon,25
Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,25
Catelyn-Stark,Stannis-Baratheon,24
Bran-Stark,Catelyn-Stark,24
Brienne-of-Tarth,Sansa-Stark,24
Jaime-Lannister,Sansa-Stark,23
Bronn,Cersei-Lannister,23
Renly-Baratheon,Tyrion-Lannister,23
Robb-Stark,Stannis-Baratheon,22
Luwin,Rickon-Stark,21
Catelyn-Stark,Tywin-Lannister,21
Arya-Stark,Rickon-Stark,20
Rickon-Stark,Sansa-Stark,20
Rickon-Stark,Theon-Greyjoy,20
Eddard-Stark,Luwin,19
Jaime-Lannister,Varys,19
Eddard-Stark,Tywin-Lannister,18
Renly-Baratheon,Varys,18
Arya-Stark,Robert-Baratheon,17
Daenerys-Targaryen,Tyrion-Lannister,17
Renly-Baratheon,Sansa-Stark,16
Jon-Snow,Theon-Greyjoy,16
Jon-Snow,Rickon-Stark,16
Mance-Rayder,Stannis-Baratheon,16
Stannis-Baratheon,Tommen-Baratheon,16
Cersei-Lannister,Robb-Stark,15
Eddard-Stark,Rickon-Stark,15
Catelyn-Stark,Jon-Snow,14
Catelyn-Stark,Luwin,14
Catelyn-Stark,Theon-Greyjoy,14
Joffrey-Baratheon,Jon-Snow,14
Sansa-Stark,Tommen-Baratheon,13
Arya-Stark,Tywin-Lannister,13
Arya-Stark,Jaime-Lannister,13
Robert-Baratheon,Tommen-Baratheon,12
Bronn,Joffrey-Baratheon,12
Bronn,Varys,12
Cersei-Lannister,Renly-Baratheon,12
Aemon-Targaryen-(Maester-Aemon),Stannis-Baratheon,12
Jaime-Lannister,Stannis-Baratheon,12
Jon-Snow,Sansa-Stark,11
Sansa-Stark,Stannis-Baratheon,11
Catelyn-Stark,Joffrey-Baratheon,11
Tommen-Baratheon,Tywin-Lannister,11
Bran-Stark,Samwell-Tarly,11
Bran-Stark,Robert-Baratheon,11
Hodor,Rickon-Stark,11
Arya-Stark,Tyrion-Lannister,11
Stannis-Baratheon,Theon-Greyjoy,10
Jorah-Mormont,Robert-Baratheon,10
Jojen-Reed,Samwell-Tarly,10
Jon-Snow,Luwin,10
Stannis-Baratheon,Varys,10
Catelyn-Stark,Varys,10
Mance-Rayder,Samwell-Tarly,10
Luwin,Tyrion-Lannister,10
Davos-Seaworth,Joffrey-Baratheon,10
Mance-Rayder,Theon-Greyjoy,9
Tywin-Lannister,Varys,9
Robb-Stark,Robert-Baratheon,9
Ramsay-Snow,Stannis-Baratheon,8
Brienne-of-Tarth,Cersei-Lannister,8
Sansa-Stark,Varys,8
Daenerys-Targaryen,Varys,8
Bran-Stark,Tommen-Baratheon,8
Arya-Stark,Catelyn-Stark,8
Brienne-of-Tarth,Tyrion-Lannister,7
Mance-Rayder,Ramsay-Snow,7
Bran-Stark,Ramsay-Snow,7
Jojen-Reed,Luwin,7
Ramsay-Snow,Robb-Stark,7
Arya-Stark,Theon-Greyjoy,7
Cersei-Lannister,Jon-Snow,7
Bronn,Tywin-Lannister,7
Bronn,Tommen-Baratheon,7
Bran-Stark,Joffrey-Baratheon,6
Bran-Stark,Cersei-Lannister,6
Sansa-Stark,Tywin-Lannister,6
Davos-Seaworth,Renly-Baratheon,6
