Id;Label;Clustering
Aemon-Targaryen-(Maester-Aemon);Aemon-Targaryen-(Maester-Aemon);17
Arya-Stark;Arya-Stark;28
Bran-Stark;Bran-Stark;2
Brienne-of-Tarth;Brienne-of-Tarth;6
Bronn;Bronn;6
Catelyn-Stark;Catelyn-Stark;2
Cersei-Lannister;Cersei-Lannister;6
Daenerys-Targaryen;Daenerys-Targaryen;7
Davos-Seaworth;Davos-Seaworth;29
Drogo;Drogo;7
Eddard-Stark;Eddard-Stark;10
Hizdahr-zo-Loraq;Hizdahr-zo-Loraq;7
Hodor;Hodor;2
Jaime-Lannister;Jaime-Lannister;6
Jeor-Mormont;Jeor-Mormont;17
Joffrey-Baratheon;Joffrey-Baratheon;15
Jojen-Reed;Jojen-Reed;2
Jon-Snow;Jon-Snow;17
Jorah-Mormont;Jorah-Mormont;7
Luwin;Luwin;2
Mance-Rayder;Mance-Rayder;17
Meera-Reed;Meera-Reed;2
Ramsay-Snow;Ramsay-Snow;2
Renly-Baratheon;Renly-Baratheon;29
Rickon-Stark;Rickon-Stark;2
Robb-Stark;Robb-Stark;2
Robert-Baratheon;Robert-Baratheon;29
Samwell-Tarly;Samwell-Tarly;17
Sansa-Stark;Sansa-Stark;28
Stannis-Baratheon;Stannis-Baratheon;29
Theon-Greyjoy;Theon-Greyjoy;2
Tommen-Baratheon;Tommen-Baratheon;6
Tyrion-Lannister;Tyrion-Lannister;6
Tywin-Lannister;Tywin-Lannister;6
Varys;Varys;6
