,Aemon-Targaryen-(Maester-Aemon),Arya-Stark,Barristan-Selmy,Bran-Stark,Brienne-of-Tarth,Bronn,Catelyn-Stark,Cersei-Lannister,Daenerys-Targaryen,Davos-Seaworth,Drogo,Eddard-Stark,Gregor-Clegane,Hodor,Jaime-Lannister,Jeor-Mormont,Joffrey-Baratheon,Jon-Snow,Jorah-Mormont,Loras-Tyrell,Luwin,Lysa-Arryn,Mance-Rayder,Margaery-Tyrell,Melisandre,Petyr-Baelish,Pycelle,Renly-Baratheon,Rickon-Stark,Robb-Stark,Robert-Baratheon,Samwell-Tarly,Sandor-Clegane,Sansa-Stark,Stannis-Baratheon,Theon-Greyjoy,Tommen-Baratheon,Tyrion-Lannister,Tywin-Lannister,Varys
Aemon-Targaryen-(Maester-Aemon),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,110.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,99.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
Arya-Stark,0.0,0.0,0.0,40.0,0.0,0.0,8.0,25.0,0.0,0.0,0.0,46.0,10.0,0.0,13.0,0.0,53.0,71.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,3.0,0.0,0.0,20.0,44.0,17.0,0.0,58.0,155.0,0.0,7.0,5.0,11.0,13.0,0.0
Barristan-Selmy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,83.0,0.0,0.0,28.0,0.0,0.0,8.0,0.0,13.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,13.0,0.0,0.0,51.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,15.0
Bran-Stark,0.0,40.0,0.0,0.0,0.0,0.0,24.0,6.0,0.0,0.0,0.0,34.0,0.0,209.0,0.0,4.0,6.0,90.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,129.0,169.0,11.0,11.0,0.0,25.0,0.0,64.0,8.0,31.0,0.0,0.0
Brienne-of-Tarth,0.0,0.0,0.0,0.0,0.0,0.0,53.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,4.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,5.0,3.0,0.0,12.0,24.0,5.0,0.0,3.0,7.0,3.0,0.0
Bronn,0.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,137.0,7.0,12.0
Catelyn-Stark,0.0,8.0,0.0,24.0,53.0,6.0,0.0,30.0,0.0,0.0,0.0,88.0,0.0,0.0,59.0,0.0,11.0,14.0,0.0,6.0,14.0,55.0,0.0,4.0,0.0,31.0,0.0,55.0,6.0,128.0,27.0,0.0,0.0,32.0,24.0,14.0,0.0,69.0,21.0,10.0
Cersei-Lannister,0.0,25.0,17.0,6.0,8.0,23.0,30.0,0.0,3.0,0.0,0.0,91.0,21.0,0.0,130.0,0.0,173.0,7.0,0.0,24.0,0.0,9.0,0.0,79.0,0.0,27.0,34.0,12.0,0.0,15.0,134.0,0.0,19.0,95.0,42.0,0.0,111.0,209.0,57.0,53.0
Daenerys-Targaryen,0.0,0.0,83.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,123.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,8.0
Davos-Seaworth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0
