Id;Label;Clustering
air;air;60
anything;anything;3
arm;arm;50
back;back;3
bank;bank;38
bit;bit;91
body;body;3
bush;bush;50
care;care;3
chance;chance;50
chap;chap;50
coast;coast;60
country;country;50
course;course;44
darkness;darkness;3
day;day;60
days;days;91
desire;desire;3
devil;devil;3
Did;Did;3
earth;earth;60
eloquence;eloquence;3
everything;everything;3
eyes;eyes;38
face;face;91
feet;feet;38
fellow;fellow;91
fool;fool;5
glass;glass;3
grass;grass;50
hair;hair;3
hand;hand;50
hands;hands;50
head;head;38
heads;heads;5
house;house;79
I;I;3
idea;idea;60
information;information;3
Intended;Intended;3
ivory;ivory;79
kind;kind;44
knowledge;knowledge;3
Kurtz;Kurtz;3
Kurtzs;Kurtzs;3
lake;lake;79
life;life;60
lot;lot;38
making;making;3
man;man;50
manager;manager;79
men;men;60
method;method;3
miles;miles;50
moment;moment;3
months;months;5
Mr.;Mr.;5
mud;mud;50
name;name;91
night;night;50
nothing;nothing;60
opinion;opinion;3
people;people;91
pilgrims;pilgrims;91
place;place;5
point;point;3
power;power;5
reason;reason;3
rest;rest;38
right;right;3
river;river;38
rivets;rivets;50
road;road;50
savage;savage;5
ships;ships;60
shutter;shutter;38
side;side;50
silence;silence;3
snag;snag;38
something;something;79
sort;sort;50
soul;soul;3
station;station;79
steamboat;steamboat;50
steamer;steamer;50
strength;strength;3
surf;surf;60
thing;thing;79
things;things;91
thought;thought;50
thoughts;thoughts;50
time;time;91
voice;voice;91
water;water;38
way;way;79
wilderness;wilderness;91
word;word;50
words;words;3
work;work;50
world;world;3
“I;“I;91
