Source;Target;Weight
Kurtz;Mr.;200
Kurtz;man;185
Kurtz;Kurtz;144
man;time;119
Kurtz;time;118
man;man;86
Kurtz;ivory;86
Mr.;man;68
man;manager;66
Kurtz;way;66
Kurtz;something;63
river;time;62
man;station;60
Kurtz;life;60
Kurtz;manager;59
man;way;58
man;nothing;56
man;men;56
Kurtz;station;56
man;river;55
man;something;55
Kurtz;nothing;55
Kurtz;anything;54
Mr.;Mr.;53
head;man;52
man;thing;51
Kurtz;thing;51
man;work;50
Kurtz;day;50
ivory;man;50
men;time;49
life;man;49
Kurtz;months;48
eyes;man;47
Kurtz;river;47
day;man;46
ivory;time;46
Kurtz;things;46
Kurtz;place;46
anything;man;43
head;time;42
Kurtz;kind;42
course;man;41
feet;man;41
Kurtz;head;41
manager;time;41
thing;time;40
Mr.;ivory;39
Kurtz;fool;39
eyes;time;38
Kurtz;course;37
time;time;37
Kurtz;heads;37
man;night;36
man;things;36
course;time;36
feet;time;36
bit;man;36
Kurtz;darkness;36
earth;men;35
Kurtz;feet;35
Kurtz;people;35
Kurtz;silence;35
Kurtz;knowledge;35
Kurtz;power;35
Kurtz;house;35
men;river;34
time;way;34
something;time;34
Kurtz;voice;34
Mr.;time;34
Kurtz;days;34
man;pilgrims;34
man;name;33
man;people;33
Kurtz;wilderness;33
Kurtz;back;33
Kurtz;earth;33
country;man;32
air;man;32
head;river;32
station;time;32
house;ivory;32
man;voice;31
manager;station;31
Kurtz;savage;31
Mr.;way;31
Kurtz;face;31
earth;man;30
men;way;30
man;months;30
eyes;head;30
something;way;30
face;time;30
Kurtz;moment;30
ivory;way;30
Kurtz;mud;30
ivory;river;30
Kurtz;country;30
Kurtz;strength;30
Kurtz;point;30
Kurtz;soul;30
men;men;29
eyes;feet;29
hands;man;29
days;man;29
things;time;29
man;miles;29
station;way;29
Kurtz;world;29
Mr.;something;29
Kurtz;care;29
Mr.;heads;29
men;nothing;28
man;“I;28
river;water;28
feet;head;28
I;Kurtz;28
manager;way;28
Kurtz;devil;28
Mr.;life;28
man;rivets;28
Mr.;place;28
nothing;time;27
man;rest;27
man;silence;27
kind;man;27
nothing;something;27
grass;man;27
man;word;27
feet;river;27
face;man;27
man;side;27
Mr.;months;27
Kurtz;bit;27
pilgrims;time;27
arm;man;27
Kurtz;hand;27
bank;man;27
feet;snag;27
day;men;26
earth;time;26
time;water;26
fellow;man;26
man;steamer;26
man;place;26
Kurtz;men;26
Mr.;kind;26
Kurtz;hair;26
Kurtz;lot;26
men;ships;25
man;wilderness;25
something;thing;25
chap;man;25
coast;surf;25
time;voice;25
ivory;station;25
Kurtz;information;25
Kurtz;words;25
Kurtz;fellow;25
Kurtz;rest;25
Mr.;fool;25
Kurtz;right;25
Kurtz;Kurtzs;25
day;time;24
air;men;24
kind;time;24
man;water;24
air;time;24
men;thing;24
men;something;24
man;steamboat;24
thing;way;24
Kurtz;pilgrims;24
Kurtz;word;24
man;mud;24
Kurtz;thoughts;24
feet;shutter;24
Mr.;power;24
Kurtz;lake;24
ivory;lake;24
day;river;23
bush;man;23
chance;man;23
life;time;23
name;time;23
hand;man;23
eyes;river;23
coast;nothing;23
something;station;23
head;manager;23
Kurtz;“I;23
back;man;23
Kurtz;making;23
Kurtz;air;23
bank;feet;23
man;thought;23
man;thoughts;23
Intended;Kurtz;23
Kurtz;eloquence;23
rest;time;22
day;life;22
river;way;22
bit;time;22
months;time;22
days;time;22
heads;man;22
Mr.;day;22
head;ivory;22
Kurtz;everything;22
Kurtz;eyes;22
manager;something;22
feet;water;22
nothing;station;22
Mr.;savage;22
Kurtz;opinion;22
Kurtz;name;22
anything;time;22
Kurtz;idea;22
Did;Kurtz;22
Kurtz;glass;22
Kurtz;body;22
knowledge;man;22
rest;river;21
life;nothing;21
time;“I;21
lot;river;21
time;wilderness;21
idea;nothing;21
man;road;21
idea;man;21
fellow;time;21
people;time;21
head;something;21
eyes;something;21
fool;man;21
man;sort;21
man;moment;21
men;station;21
house;man;21
Kurtz;sort;21
Kurtz;desire;21
ivory;manager;21
course;kind;21
Mr.;nothing;21
Kurtz;thought;21
shutter;snag;21
Kurtz;method;21
Kurtz;reason;21
