Source;Target;Weight
injustice;justice;255
state;state;229
protect;work;201
life;soul;175
Gutenberg-tm;protect;173
Gutenberg-tm;work;162
justice;justice;147
guardian;state;147
justice;man;132
life;man;126
injustice;man;119
work;work;115
happily;state;113
soul;soul;101
life;lot;101
man;soul;99
lot;soul;99
men;state;96
man;state;95
injustice;injustice;95
life;state;94
justice;men;93
class;state;93
life;life;91
man;man;89
man;nature;88
man;men;87
justice;nature;87
art;art;87
state;way;87
justice;state;84
evil;soul;84
protect;protect;84
state;work;83
life;men;82
state;thing;82
interest;justice;81
Gutenberg;protect;81
nature;state;79
nature;soul;79
ruler;state;78
citizen;state;78
found;protect;78
man;thing;76
men;nature;73
individual;state;70
injustice;men;70
life;nature;69
law;state;69
term;work;69
god;men;68
order;state;67
man;other;66
evil;life;66
soul;state;65
justice;Thrasymachus;64
justice;life;64
soul;thing;64
god;god;63
number;square;63
thing;way;62
other;soul;62
injustice;nature;61
bodily;soul;61
pain;pleasure;61
other;state;60
man;way;60
guardian;happily;60
life;other;59
soul;time;58
father;son;57
life;way;57
justice;power;57
number;time;57
injustice;state;57
art;interest;56
god;poet;56
sort;state;55
men;thing;54
life;thing;54
justice;soul;54
citing;state;54
agreement;work;54
copies;work;54
choice;soul;54
god;man;53
man;time;52
men;soul;52
soul;world;52
state;truth;52
thing;time;51
life;live;51
protect;term;51
life;time;50
soul;way;50
men;women;50
choice;life;50
unit;work;50
men;way;49
god;justice;49
god;life;49
number;number;47
ruler;subject;47
justice;way;47
Gutenberg;work;47
evil;man;46
justice;other;46
injustice;interest;46
part;state;46
hand;state;46
Gutenberg-tm;term;46
literary;protect;46
Archive;protect;46
men;other;45
other;time;45
power;state;45
found;work;45
cubes;number;45
light;whorl;45
spindle;whorl;45
found;Gutenberg-tm;45
justice;manner;44
injustice;life;44
guardian;guardian;44
eye;state;44
agreement;protect;44
nature;nature;43
god;thing;42
govern;state;42
injustice;other;42
life;sort;42
potter;state;42
live;soul;42
Gutenberg;Gutenberg-tm;42
nature;thing;41
man;sort;41
man;power;41
life;virtue;41
life;world;41
one;state;41
thing;thing;40
state;view;40
art;medicine;40
injustice;Thrasymachus;40
number;side;40
injustice;power;40
evil;injustice;40
reason;soul;40
sort;soul;40
principle;soul;40
class;guardian;40
Gutenberg-tm;Gutenberg-tm;40
agreement;Gutenberg-tm;40
refund;work;40
men;time;39
man;word;39
friend;man;39
man;north;39
justice;view;39
injustice;unjust;39
god;injustice;39
copyright;work;39
license;work;39
thing;truth;38
justice;thing;38
case;man;38
honour;justice;38
interest;subject;38
god;son;38
knowledge;thing;38
gold;state;38
state;time;38
earth;soul;38
number;soul;38
birth;number;38
choice;lot;38
evil;lot;38
pleasure;pleasure;37
interest;interest;37
principle;state;37
state;virtue;37
kind;state;37
evil;justice;37
injustice;soul;37
justice;possessor;37
reason;state;37
life;philosophic;37
life;qualities;37
protect;state;37
time;way;36
argument;justice;36
justice;sort;36
art;state;36
evil;nature;36
justice;reputed;36
citizen;guardian;36
man;son;36
qualities;soul;36
circle;whorl;36
whorl;whorl;36
lot;man;36
son;son;35
justice;one;35
man;virtue;35
interest;man;35
injustice;sort;35
injustice;way;35
art;man;35
man;principle;35
soul;virtue;35
earth;time;35
state;whole;35
cubes;square;35
license;protect;35
copies;protect;35
other;thing;34
interest;ruler;34
sort;thing;34
justice;ring;34
bodily;state;34
drink;drink;34
rhythm;rhythm;34
domain;work;34
fee;protect;34
men;men;33
journey;soul;33
anything;state;33
evil;men;33
constitutes;state;33
husbandman;state;33
number;state;33
found;Gutenberg;33
man;mind;32
enemies;friend;32
action;man;32
justice;virtue;32
form;state;32
question;state;32
nature;way;32
desire;man;32
knowledge;nature;32
soul;spirit;32
lot;lot;32
heaven;soul;32
character;state;32
purport;state;32
protect;unit;32
protect;trademark;32
copies;Gutenberg-tm;32
age;age;31
man;master;31
ruler;ruler;31
friend;state;31
hand;soul;31
life;wealth;31
head;state;31
answer;state;31
kind;knowledge;31
soul;tyrant;31
access;work;31
justice;point;30
hand;time;30
man;ruler;30
man;unjust;30
Glaucon;justice;30
justice;reward;30
men;power;30
knowledge;truth;30
evil;thing;30
evil;state;30
bodily;thing;30
guardian;way;30
class;happily;30
number;power;30
opinion;opinion;30
light;light;30
trademark;work;30
found;literary;30
Archive;found;30
age;man;29
thing;world;29
justice;law;29
bodily;bodily;29
ruler;shepherd;29
justice;unjust;29
knowledge;man;29
life;excess;29
hand;justice;29
mind;soul;29
bodily;man;29
eye;soul;29
god;soul;29
beautify;soul;29
soul;year;29
beautify;thing;29
qualities;state;29
number;term;29
Er;soul;29
