Source;Target;Weight
Archive;Archive;1.0
Er;Er;1.0
Er;soul;1.0
Glaucon;Glaucon;1.0
Glaucon;justice;1.0
Gutenberg;Gutenberg;1.0
Gutenberg-tm;Gutenberg-tm;1.0
Thrasymachus;Thrasymachus;1.0
access;access;1.0
access;work;1.0
action;action;1.0
action;man;1.0
age;age;1.0
agreement;agreement;1.0
answer;answer;1.0
answer;state;1.0
anything;anything;1.0
anything;state;1.0
argument;argument;1.0
argument;justice;1.0
art;art;1.0
beautify;beautify;1.0
birth;birth;1.0
birth;number;1.0
bodily;bodily;1.0
case;case;1.0
case;man;1.0
character;character;1.0
character;state;1.0
choice;choice;1.0
circle;circle;1.0
circle;whorl;1.0
citing;citing;1.0
citing;state;1.0
citizen;citizen;1.0
class;class;1.0
constitutes;constitutes;1.0
constitutes;state;1.0
copies;copies;1.0
copyright;copyright;1.0
copyright;work;1.0
cubes;cubes;1.0
desire;desire;1.0
desire;man;1.0
domain;domain;1.0
domain;work;1.0
drink;drink;1.0
earth;earth;1.0
enemies;enemies;1.0
enemies;friend;1.0
evil;evil;1.0
excess;excess;1.0
excess;life;1.0
eye;eye;1.0
father;father;1.0
father;son;1.0
fee;fee;1.0
fee;protect;1.0
form;form;1.0
form;state;1.0
found;found;1.0
friend;friend;1.0
god;god;1.0
gold;gold;1.0
gold;state;1.0
govern;govern;1.0
govern;state;1.0
guardian;guardian;1.0
hand;hand;1.0
happily;happily;1.0
head;head;1.0
head;state;1.0
heaven;heaven;1.0
heaven;soul;1.0
honour;honour;1.0
honour;justice;1.0
husbandman;husbandman;1.0
husbandman;state;1.0
individual;individual;1.0
individual;state;1.0
injustice;injustice;1.0
interest;interest;1.0
journey;journey;1.0
journey;soul;1.0
justice;justice;1.0
kind;kind;1.0
knowledge;knowledge;1.0
law;law;1.0
license;license;1.0
life;life;1.0
light;light;1.0
literary;literary;1.0
live;live;1.0
lot;lot;1.0
man;man;1.0
manner;justice;1.0
manner;manner;1.0
master;man;1.0
master;master;1.0
medicine;art;1.0
medicine;medicine;1.0
men;men;1.0
mind;mind;1.0
nature;nature;1.0
north;man;1.0
north;north;1.0
number;number;1.0
one;one;1.0
opinion;opinion;1.0
order;order;1.0
order;state;1.0
other;other;1.0
pain;pain;1.0
pain;pleasure;1.0
part;part;1.0
part;state;1.0
philosophic;life;1.0
philosophic;philosophic;1.0
pleasure;pleasure;1.0
poet;god;1.0
poet;poet;1.0
point;justice;1.0
point;point;1.0
possessor;justice;1.0
possessor;possessor;1.0
potter;potter;1.0
potter;state;1.0
power;power;1.0
principle;principle;1.0
protect;protect;1.0
purport;purport;1.0
purport;state;1.0
qualities;qualities;1.0
question;question;1.0
question;state;1.0
reason;reason;1.0
refund;refund;1.0
refund;work;1.0
reputed;justice;1.0
reputed;reputed;1.0
reward;justice;1.0
reward;reward;1.0
rhythm;rhythm;1.0
ring;justice;1.0
ring;ring;1.0
ruler;ruler;1.0
shepherd;ruler;1.0
shepherd;shepherd;1.0
side;number;1.0
side;side;1.0
son;son;1.0
sort;sort;1.0
soul;soul;1.0
spindle;spindle;1.0
spindle;whorl;1.0
spirit;soul;1.0
spirit;spirit;1.0
square;square;1.0
state;state;1.0
subject;subject;1.0
term;term;1.0
thing;thing;1.0
time;time;1.0
trademark;trademark;1.0
truth;truth;1.0
tyrant;soul;1.0
tyrant;tyrant;1.0
unit;unit;1.0
unjust;unjust;1.0
view;view;1.0
virtue;virtue;1.0
way;way;1.0
wealth;life;1.0
wealth;wealth;1.0
whole;state;1.0
whole;whole;1.0
whorl;whorl;1.0
women;men;1.0
women;women;1.0
word;man;1.0
word;word;1.0
work;work;1.0
world;world;1.0
year;soul;1.0
year;year;1.0
law;state;0.7040816326530612
citizen;state;0.6842105263157895
square;number;0.6428571428571429
pleasure;pain;0.6224489795918368
Thrasymachus;justice;0.6153846153846154
unit;work;0.6097560975609756
Archive;protect;0.6052631578947368
literary;protect;0.6052631578947368
eye;state;0.6027397260273972
light;whorl;0.6
class;state;0.5705521472392638
cubes;number;0.5625
happily;state;0.5566502463054187
subject;ruler;0.5529411764705883
live;life;0.5483870967741935
kind;state;0.5441176470588235
one;state;0.5394736842105263
license;work;0.527027027027027
mind;man;0.5245901639344263
earth;soul;0.5205479452054794
reason;soul;0.5194805194805194
trademark;protect;0.5161290322580645
view;state;0.5063291139240507
beautify;soul;0.5
beautify;thing;0.5
view;justice;0.4936708860759494
trademark;work;0.4838709677419355
age;man;0.48333333333333334
reason;state;0.4805194805194805
earth;time;0.4794520547945205
mind;soul;0.47540983606557374
license;protect;0.47297297297297297
one;justice;0.4605263157894737
kind;knowledge;0.45588235294117646
live;soul;0.45161290322580644
subject;interest;0.4470588235294118
copies;work;0.4462809917355372
cubes;square;0.4375
truth;state;0.43333333333333335
world;soul;0.4262295081967213
guardian;state;0.4117647058823529
Gutenberg;protect;0.39901477832512317
unjust;injustice;0.3979591836734694
eye;soul;0.3972602739726027
Archive;found;0.39473684210526316
literary;found;0.39473684210526316
agreement;work;0.391304347826087
unit;protect;0.3902439024390244
Thrasymachus;injustice;0.38461538461538464
friend;man;0.38235294117647056
choice;soul;0.38028169014084506
qualities;life;0.3627450980392157
principle;soul;0.35714285714285715
square;cubes;0.35714285714285715
term;work;0.35384615384615387
qualities;soul;0.35294117647058826
choice;life;0.352112676056338
son;father;0.3433734939759036
hand;state;0.3382352941176471
world;life;0.3360655737704918
bodily;soul;0.3333333333333333
principle;state;0.33035714285714285
agreement;protect;0.3188405797101449
truth;thing;0.31666666666666665
citizen;guardian;0.3157894736842105
friend;enemies;0.3137254901960784
ruler;state;0.3132530120481928
principle;man;0.3125
unjust;man;0.30612244897959184
friend;state;0.30392156862745096
found;protect;0.2988505747126437
Gutenberg-tm;protect;0.2982758620689655
law;justice;0.29591836734693877
unjust;justice;0.29591836734693877
happily;guardian;0.2955665024630542
lot;life;0.2936046511627907
agreement;Gutenberg-tm;0.2898550724637681
copies;protect;0.2892561983471074
lot;soul;0.2877906976744186
qualities;state;0.28431372549019607
Gutenberg-tm;work;0.2793103448275862
whorl;light;0.2777777777777778
whorl;spindle;0.2777777777777778
choice;lot;0.2676056338028169
copies;Gutenberg-tm;0.2644628099173554
term;protect;0.26153846153846155
truth;knowledge;0.25
interest;justice;0.24770642201834864
class;guardian;0.24539877300613497
world;thing;0.23770491803278687
knowledge;thing;0.2375
term;Gutenberg-tm;0.2358974358974359
power;justice;0.2345679012345679
injustice;justice;0.23308957952468007
Gutenberg;work;0.2315270935960591
son;god;0.2289156626506024
hand;soul;0.22794117647058823
virtue;life;0.22777777777777777
whorl;circle;0.2222222222222222
hand;time;0.22058823529411764
art;interest;0.2204724409448819
son;man;0.21686746987951808
hand;justice;0.21323529411764705
Gutenberg;Gutenberg-tm;0.20689655172413793
virtue;state;0.20555555555555555
knowledge;nature;0.2
protect;work;0.199207135777998
virtue;man;0.19444444444444445
virtue;soul;0.19444444444444445
sort;state;0.19434628975265017
knowledge;kind;0.19375
evil;soul;0.19090909090909092
ruler;subject;0.18875502008032127
knowledge;truth;0.1875
bodily;state;0.18579234972677597
power;state;0.18518518518518517
class;happily;0.18404907975460122
work;protect;0.1838975297346752
knowledge;man;0.18125
virtue;justice;0.17777777777777778
found;Gutenberg-tm;0.1724137931034483
found;work;0.1724137931034483
protect;Gutenberg-tm;0.17145688800792863
interest;art;0.1712538226299694
power;man;0.16872427983539096
guardian;happily;0.16806722689075632
power;injustice;0.1646090534979424
bodily;thing;0.16393442622950818
Gutenberg;found;0.1625615763546798
way;state;0.1596330275229358
bodily;man;0.15846994535519127
art;medicine;0.15748031496062992
evil;life;0.15
number;square;0.15
term;number;0.14871794871794872
sort;life;0.14840989399293286
work;Gutenberg-tm;0.14821591948764867
happily;class;0.1477832512315271
sort;man;0.14487632508833923
other;man;0.1437908496732026
art;state;0.14173228346456693
sort;soul;0.1413427561837456
interest;injustice;0.14067278287461774
god;men;0.13991769547325103
art;man;0.1377952755905512
ruler;interest;0.13654618473895583
number;time;0.1357142857142857
justice;injustice;0.13571048430015967
other;soul;0.13507625272331156
other;state;0.13071895424836602
other;life;0.12854030501089325
sort;justice;0.127208480565371
found;Gutenberg;0.12643678160919541
sort;injustice;0.12367491166077739
power;men;0.12345679012345678
power;number;0.12345679012345678
nature;man;0.12222222222222222
nature;justice;0.12083333333333333
ruler;man;0.12048192771084337
sort;thing;0.12014134275618374
time;soul;0.11812627291242363
ruler;shepherd;0.11646586345381527
interest;subject;0.1162079510703364
time;number;0.11608961303462322
god;poet;0.11522633744855967
found;Archive;0.11494252873563218
found;literary;0.11494252873563218
way;thing;0.11376146788990826
life;soul;0.11363636363636363
guardian;class;0.11204481792717087
lot;choice;0.11046511627906977
lot;evil;0.11046511627906977
way;man;0.11009174311926606
