Source;Target;Weight
Ajax;Ajax;1.0
Ajax;life;1.0
Archive;Archive;1.0
Ardiaeus;Ardiaeus;1.0
Atropos;Atropos;1.0
Clotho;Clotho;1.0
Er;Er;1.0
Er;life;1.0
Foundation;Foundation;1.0
Glaucon;Glaucon;1.0
God;God;1.0
Gutenberg;Gutenberg;1.0
Gutenberg-tm;Gutenberg-tm;1.0
Interpreter;Interpreter;1.0
Interpreter;life;1.0
Lachesis;Lachesis;1.0
License;License;1.0
Literary;Literary;1.0
Necessity;Necessity;1.0
Project;Project;1.0
Socrates;Socrates;1.0
Sophocles;Sophocles;1.0
Sophocles;age;1.0
State;State;1.0
States;States;1.0
Thrasymachus;Thrasymachus;1.0
United;United;1.0
access;access;1.0
action;action;1.0
action;man;1.0
advantage;advantage;1.0
age;age;1.0
agreement;agreement;1.0
aim;State;1.0
aim;aim;1.0
animals;animals;1.0
answer;answer;1.0
anything;State;1.0
anything;anything;1.0
argument;argument;1.0
art;art;1.0
arts;arts;1.0
author;God;1.0
author;author;1.0
auxiliaries;State;1.0
auxiliaries;auxiliaries;1.0
beautiful;State;1.0
beautiful;beautiful;1.0
beauty;beauty;1.0
birth;birth;1.0
birth;life;1.0
body;body;1.0
brother;brother;1.0
brother;justice;1.0
calm;age;1.0
calm;calm;1.0
captain;captain;1.0
captain;ship;1.0
case;case;1.0
case;man;1.0
cause;age;1.0
cause;cause;1.0
censure;censure;1.0
chance;chance;1.0
chance;life;1.0
character;State;1.0
character;character;1.0
children;children;1.0
choice;choice;1.0
circle;circle;1.0
circle;whorl;1.0
citizens;citizens;1.0
city;city;1.0
class;class;1.0
classes;State;1.0
classes;classes;1.0
collection;Project;1.0
collection;collection;1.0
colours;State;1.0
colours;colours;1.0
company;company;1.0
company;man;1.0
condition;condition;1.0
condition;man;1.0
constitution;State;1.0
constitution;constitution;1.0
copies;copies;1.0
copy;copy;1.0
copyright;copyright;1.0
corruption;State;1.0
corruption;corruption;1.0
cubed;cubed;1.0
day;day;1.0
day;light;1.0
death;death;1.0
deficient;art;1.0
deficient;deficient;1.0
degree;degree;1.0
degree;justice;1.0
desire;desire;1.0
destiny;destiny;1.0
destiny;life;1.0
diameters;diameters;1.0
diameters;square;1.0
disease;body;1.0
disease;disease;1.0
domain;domain;1.0
donations;Project;1.0
donations;donations;1.0
drink;drink;1.0
duty;State;1.0
