Source;Target;Weight
Ajax;Ajax;1.0
Ajax;Er;1.0
Ajax;Interpreter;1.0
Ajax;birth;1.0
Ajax;chance;1.0
Ajax;destiny;1.0
Ajax;evils;1.0
Ajax;genius;1.0
Ajax;judgment;1.0
Ajax;lots;1.0
Ajax;messenger;1.0
Ajax;middle;1.0
Ajax;necessity;1.0
Ajax;samples;1.0
Ajax;sorts;1.0
Ajax;swan;1.0
Ajax;tyrannies;1.0
Archive;Archive;1.0
Archive;Literary;1.0
Ardiaeus;Ardiaeus;1.0
Atropos;Atropos;1.0
Atropos;Clotho;1.0
Atropos;Necessity;1.0
Clotho;Atropos;1.0
Clotho;Clotho;1.0
Clotho;Necessity;1.0
Er;Ajax;1.0
Er;Er;1.0
Er;Interpreter;1.0
Er;birth;1.0
Er;chance;1.0
Er;destiny;1.0
Er;evils;1.0
Er;genius;1.0
Er;judgment;1.0
Er;lots;1.0
Er;messenger;1.0
Er;middle;1.0
Er;necessity;1.0
Er;samples;1.0
Er;sorts;1.0
Er;swan;1.0
Er;tyrannies;1.0
Foundation;Foundation;1.0
Glaucon;Glaucon;1.0
God;God;1.0
God;ring;1.0
Gutenberg;Gutenberg;1.0
Gutenberg-tm;Gutenberg-tm;1.0
Interpreter;Ajax;1.0
Interpreter;Er;1.0
Interpreter;Interpreter;1.0
Interpreter;birth;1.0
Interpreter;chance;1.0
Interpreter;destiny;1.0
Interpreter;evils;1.0
Interpreter;genius;1.0
Interpreter;judgment;1.0
Interpreter;lots;1.0
Interpreter;messenger;1.0
Interpreter;middle;1.0
Interpreter;necessity;1.0
Interpreter;samples;1.0
Interpreter;sorts;1.0
Interpreter;swan;1.0
Interpreter;tyrannies;1.0
Lachesis;Lachesis;1.0
License;License;1.0
License;access;1.0
License;copyright;1.0
Literary;Archive;1.0
Literary;Literary;1.0
Necessity;Atropos;1.0
Necessity;Clotho;1.0
Necessity;Necessity;1.0
Project;Project;1.0
Socrates;Socrates;1.0
Sophocles;Sophocles;1.0
Sophocles;calm;1.0
Sophocles;cause;1.0
Sophocles;mad;1.0
Sophocles;relations;1.0
State;State;1.0
States;States;1.0
Thrasymachus;Thrasymachus;1.0
Thrasymachus;honours;1.0
United;United;1.0
access;License;1.0
access;access;1.0
access;copyright;1.0
action;action;1.0
action;case;1.0
action;company;1.0
action;condition;1.0
action;fear;1.0
action;money;1.0
action;scale;1.0
action;sense;1.0
action;strain;1.0
advantage;advantage;1.0
advantage;force;1.0
age;age;1.0
agreement;agreement;1.0
aim;aim;1.0
aim;anything;1.0
aim;auxiliaries;1.0
aim;beautiful;1.0
aim;character;1.0
aim;classes;1.0
aim;colours;1.0
aim;constitution;1.0
aim;corruption;1.0
aim;duty;1.0
aim;forms;1.0
aim;good;1.0
aim;government;1.0
aim;husbandmen;1.0
aim;idea;1.0
aim;kings;1.0
aim;latter;1.0
aim;laws;1.0
aim;philosophers;1.0
aim;pretension;1.0
aim;rest;1.0
