Source;Target;Weight
Archive;Archive;1.0
Archive;Gutenberg;1.0
Archive;Gutenberg-tm;1.0
Archive;found;1.0
Archive;literary;1.0
Archive;protect;1.0
Archive;term;1.0
Archive;work;1.0
Er;Er;1.0
Er;beautify;1.0
Er;bodily;1.0
Er;choice;1.0
Er;earth;1.0
Er;evil;1.0
Er;eye;1.0
Er;god;1.0
Er;hand;1.0
Er;heaven;1.0
Er;injustice;1.0
Er;journey;1.0
Er;justice;1.0
Er;life;1.0
Er;live;1.0
Er;lot;1.0
Er;man;1.0
Er;men;1.0
Er;mind;1.0
Er;nature;1.0
Er;number;1.0
Er;other;1.0
Er;principle;1.0
Er;qualities;1.0
Er;reason;1.0
Er;sort;1.0
Er;soul;1.0
Er;spirit;1.0
Er;state;1.0
Er;thing;1.0
Er;time;1.0
Er;tyrant;1.0
Er;virtue;1.0
Er;way;1.0
Er;world;1.0
Er;year;1.0
Glaucon;Glaucon;1.0
Glaucon;Thrasymachus;1.0
Glaucon;argument;1.0
Glaucon;evil;1.0
Glaucon;god;1.0
Glaucon;honour;1.0
Glaucon;injustice;1.0
Glaucon;interest;1.0
Glaucon;justice;1.0
Glaucon;life;1.0
Glaucon;man;1.0
Glaucon;manner;1.0
Glaucon;men;1.0
Glaucon;nature;1.0
Glaucon;one;1.0
Glaucon;other;1.0
Glaucon;point;1.0
Glaucon;possessor;1.0
Glaucon;power;1.0
Glaucon;reputed;1.0
Glaucon;reward;1.0
Glaucon;ring;1.0
Glaucon;sort;1.0
Glaucon;soul;1.0
Glaucon;state;1.0
Glaucon;thing;1.0
Glaucon;view;1.0
Glaucon;virtue;1.0
Glaucon;way;1.0
Gutenberg;Gutenberg;1.0
Gutenberg;Gutenberg-tm;1.0
Gutenberg;protect;1.0
Gutenberg;work;1.0
Gutenberg-tm;Gutenberg-tm;1.0
Gutenberg-tm;work;1.0
Thrasymachus;Thrasymachus;1.0
Thrasymachus;injustice;1.0
Thrasymachus;interest;1.0
Thrasymachus;justice;1.0
Thrasymachus;life;1.0
Thrasymachus;man;1.0
Thrasymachus;men;1.0
Thrasymachus;nature;1.0
Thrasymachus;state;1.0
access;Gutenberg;1.0
access;Gutenberg-tm;1.0
access;access;1.0
access;agreement;1.0
access;copies;1.0
access;copyright;1.0
access;domain;1.0
access;found;1.0
access;license;1.0
access;protect;1.0
access;refund;1.0
access;state;1.0
access;term;1.0
access;unit;1.0
access;work;1.0
action;action;1.0
action;art;1.0
